movie_name,movie_id,number_different_values
The Three Musketeers,"[['tt1509767'], ['tt0108333'], ['tt0040876'], ['tt0032028'], ['tt0012752'], ['tt0027099'], ['tt0108333'], ['tt0012752'], ['tt3534078'], ['tt0486728'], ['tt3534078'], ['tt0024663'], ['tt1509767'], ['tt0108333'], ['tt0072281'], ['tt0040876'], ['tt0024663'], ['tt0032028'], ['tt0012752'], ['tt0046461'], ['tt0027099'], ['tt3274666'], ['tt0007454'], ['tt3534078'], ['tt1509767'], ['tt0024663'], ['tt1509767'], ['tt0108333'], ['tt0072281'], ['tt0040876'], ['tt15049210'], ['tt0024663'], ['tt0032028'], ['tt0012752'], ['tt0027099'], ['tt1245543'], ['tt23054536'], ['tt1509767'], ['tt0024663']]",16
Shadow,"[['tt2386295'], ['tt1499935'], ['tt5927054'], ['tt1425253'], ['tt8175866'], ['tt14279476'], ['tt1764589'], ['tt2112261'], ['tt13742638'], ['tt0329777'], ['tt0329777'], ['tt5432062'], ['tt2096601'], ['tt6257420'], ['tt6864046'], ['tt6864046'], ['tt6864046'], ['tt6864046'], ['tt2386295'], ['tt1499935'], ['tt2096601'], ['tt1499935'], ['tt22640436'], ['tt6227280'], ['tt6257420'], ['tt2096601']]",16
Redemption,"[['tt1893256'], ['tt1307002'], ['tt5621712'], ['tt10688282'], ['tt3104228'], ['tt2795824'], ['tt1350546'], ['tt3104228'], ['tt3104228'], ['tt7717764'], ['tt10226150'], ['tt3279418'], ['tt1350546'], ['tt5888854'], ['tt25031334'], ['tt1893256'], ['tt8870574'], ['tt1307002'], ['tt2795824'], ['tt25031334'], ['tt10226150'], ['tt1893256'], ['tt8870574'], ['tt5621712'], ['tt1604102'], ['tt3279418'], ['tt3059814'], ['tt3330388']]",16
Stranded,"[['tt8157978'], ['tt2268573'], ['tt1372689'], ['tt9873376'], ['tt10097816'], ['tt0027050'], ['tt0018450'], ['tt1699200'], ['tt1372689'], ['tt3767740'], ['tt1699200'], ['tt8244496'], ['tt23724136'], ['tt2268573'], ['tt0283015'], ['tt0094050'], ['tt23849124'], ['tt13443812'], ['tt1763287'], ['tt8157978']]",16
The Woods,"[['tt0380066'], ['tt19498462'], ['tt26215494'], ['tt22640440'], ['tt12262808'], ['tt11140178'], ['tt13721846'], ['tt4153994'], ['tt7347558'], ['tt5945930'], ['tt10826028'], ['tt23139480'], ['tt6748052'], ['tt0380066'], ['tt10826028'], ['tt6748052'], ['tt0380066'], ['tt26215494'], ['tt1736052'], ['tt2644902'], ['tt5945930'], ['tt10826028'], ['tt3961536']]",16
Paradise,"[['tt9913936'], ['tt0323577'], ['tt1825913'], ['tt1825913'], ['tt0084469'], ['tt6819126'], ['tt2866676'], ['tt1899354'], ['tt19244468'], ['tt8389330'], ['tt0017250'], ['tt0019247'], ['tt0084469'], ['tt14802372'], ['tt4551318'], ['tt1825913'], ['tt15677238'], ['tt21308888'], ['tt10004574'], ['tt8389330'], ['tt1825913']]",16
Prey,"[['tt11306390'], ['tt9237348'], ['tt11866324'], ['tt0468536'], ['tt5699928'], ['tt4291700'], ['tt0086872'], ['tt0907305'], ['tt6117824'], ['tt14213174'], ['tt11306390'], ['tt8544614'], ['tt13648440'], ['tt5699928'], ['tt0086872'], ['tt0907305'], ['tt11866324'], ['tt15198608'], ['tt0468536'], ['tt5699928'], ['tt0907305'], ['tt11866324'], ['tt0468536'], ['tt0086872'], ['tt3129094'], ['tt11866324'], ['tt3129094'], ['tt13648440'], ['tt11866324'], ['tt15198608'], ['tt0468536'], ['tt5699928'], ['tt4291700'], ['tt0907305'], ['tt6117824'], ['tt3719354'], ['tt11306390'], ['tt16425548']]",16
Limbo,"[['tt14032696'], ['tt21833834'], ['tt10428118'], ['tt7935392'], ['tt5874116'], ['tt18594500'], ['tt11608014'], ['tt10985100'], ['tt16077408'], ['tt9203084'], ['tt21833834'], ['tt0435689'], ['tt10985100'], ['tt0164085'], ['tt1308967'], ['tt1288473'], ['tt4187618'], ['tt14032696'], ['tt21833834'], ['tt0164085'], ['tt10428118'], ['tt18594500'], ['tt8286386'], ['tt10985100'], ['tt4187618']]",16
A Christmas Carol,"[['tt1067106'], ['tt0044008'], ['tt0029992'], ['tt4776578'], ['tt9387380'], ['tt23035676'], ['tt1067106'], ['tt9136058'], ['tt9416854'], ['tt1067106'], ['tt5516774'], ['tt1067106'], ['tt0044008'], ['tt0029992'], ['tt5516774'], ['tt4387314'], ['tt2294459'], ['tt4776578'], ['tt10476682'], ['tt0039562'], ['tt7820614'], ['tt10415514'], ['tt23035676'], ['tt16048864']]",16
The Beast,"[['tt11499506'], ['tt10530286'], ['tt0065460'], ['tt0072752'], ['tt5754414'], ['tt8179394'], ['tt2616992'], ['tt1947991'], ['tt22165864'], ['tt0072752'], ['tt14407336'], ['tt0006408'], ['tt5754414'], ['tt6196536'], ['tt14407336'], ['tt0072752'], ['tt22165864'], ['tt11499506'], ['tt10530286'], ['tt0065460'], ['tt2418264'], ['tt11499506'], ['tt14407336'], ['tt10530286'], ['tt5754414'], ['tt0065460'], ['tt3427324'], ['tt2418264'], ['tt5985140'], ['tt1947991'], ['tt9853552']]",16
Exit,"[['tt8076930'], ['tt0178655'], ['tt1617119'], ['tt0126307'], ['tt8076930'], ['tt4407966'], ['tt8165260'], ['tt2788864'], ['tt0126307'], ['tt3577190'], ['tt0482957'], ['tt4407966'], ['tt0178655'], ['tt5713336'], ['tt10648440'], ['tt1617119'], ['tt2858100'], ['tt0482957'], ['tt8076930'], ['tt0178655'], ['tt6108794'], ['tt4407966'], ['tt7880442'], ['tt12233656'], ['tt22180608']]",16
The Hunted,"[['tt0269347'], ['tt0040455'], ['tt0166221'], ['tt3149900'], ['tt2322932'], ['tt2928902'], ['tt0040455'], ['tt3149900'], ['tt8713112'], ['tt16102916'], ['tt0269347'], ['tt0113360'], ['tt16102916'], ['tt2322932'], ['tt0166221'], ['tt5250982'], ['tt6778946'], ['tt1236936'], ['tt10328498'], ['tt0269347'], ['tt0113360'], ['tt16102916'], ['tt3149900'], ['tt0040455'], ['tt2322932'], ['tt6778946'], ['tt6323218'], ['tt8713112'], ['tt11853290'], ['tt13659854']]",16
Haunted,"[['tt6322902'], ['tt7538228'], ['tt0113269'], ['tt1385543'], ['tt3530328'], ['tt6322902'], ['tt0079273'], ['tt2133234'], ['tt0178558'], ['tt1992148'], ['tt10902744'], ['tt1844676'], ['tt4824296'], ['tt6082528'], ['tt7538228'], ['tt2466630'], ['tt22870334'], ['tt0178558'], ['tt7538228'], ['tt2466630'], ['tt1385543'], ['tt3530328'], ['tt6322902'], ['tt0178558'], ['tt4824296'], ['tt5797524'], ['tt2466630']]",16
First Love,"[['tt10228168'], ['tt14726510'], ['tt10228168'], ['tt0076033'], ['tt0065703'], ['tt9060390'], ['tt0052091'], ['tt0031311'], ['tt26762470'], ['tt3109648'], ['tt9743420'], ['tt6467460'], ['tt1987567'], ['tt16743654'], ['tt0012173'], ['tt3643154'], ['tt11252688'], ['tt0031311'], ['tt10228168']]",16
Trauma,"[['tt6705640'], ['tt0104053'], ['tt0072960'], ['tt0076885'], ['tt0056611'], ['tt0104053'], ['tt0363143'], ['tt0418253'], ['tt6705640'], ['tt6705640'], ['tt0104053'], ['tt0072960'], ['tt0363143'], ['tt0076885'], ['tt0086470'], ['tt0056611'], ['tt10672310'], ['tt13205284'], ['tt0418253'], ['tt4789118'], ['tt3889632'], ['tt2443300'], ['tt1786741'], ['tt14415178']]",15
Aurora,"[['tt8821182'], ['tt16162400'], ['tt1322270'], ['tt5341128'], ['tt8553606'], ['tt8396182'], ['tt16162400'], ['tt0128059'], ['tt6942758'], ['tt11827166'], ['tt0128059'], ['tt9272408'], ['tt3411580'], ['tt11207128'], ['tt1785293'], ['tt6942758'], ['tt1785293'], ['tt11827166'], ['tt8821182'], ['tt16162400'], ['tt11207128'], ['tt9239928'], ['tt26007844'], ['tt6942758']]",15
Treasure Island,"[['tt0043067'], ['tt0069229'], ['tt0025907'], ['tt0248568'], ['tt0280371'], ['tt0122227'], ['tt0280371'], ['tt0043067'], ['tt0069229'], ['tt0025907'], ['tt0248568'], ['tt0090199'], ['tt4481340'], ['tt0893548'], ['tt0011785'], ['tt0280371'], ['tt0167326'], ['tt11064450'], ['tt0009721'], ['tt1659339'], ['tt0029356'], ['tt0090199']]",15
Gone,"[['tt0482374'], ['tt21934250'], ['tt1835981'], ['tt7474568'], ['tt1835981'], ['tt1835981'], ['tt3981670'], ['tt1838544'], ['tt1838544'], ['tt21637378'], ['tt3981670'], ['tt13657270'], ['tt1835981'], ['tt3981670'], ['tt1835981'], ['tt1838544'], ['tt11217958'], ['tt22097700'], ['tt4515940'], ['tt2087795'], ['tt1835981'], ['tt3981670'], ['tt1838544'], ['tt0482374'], ['tt0339079'], ['tt11217958'], ['tt22097700'], ['tt14371454'], ['tt1835981'], ['tt4851420']]",15
